ts_local,ts_server,slug,condition_id,inventory_yes,inventory_no,net_inventory,gross_inventory,cash,inventory_value,mark_to_market_pnl,yes_mid,no_mid,yes_fair_value,no_fair_value,yes_bid_quote,yes_ask_quote,no_bid_quote,no_ask_quote,fill_count_yes_buy,fill_count_yes_sell,fill_count_no_buy,fill_count_no_sell,total_fills,seconds_to_window_end,position_bias,crowd_activity,crowd_signal,realized_on_roll
2026-04-20T18:43:09.883409+00:00,2026-04-20T18:43:09.046193+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.931555,0.068445,0.975,0.99,0.01,0.074818,58,39,57,40,194,110.95380711555481,0.6,9654.64,-0.6366411445335026,0.0
2026-04-20T18:43:10.513540+00:00,2026-04-20T18:43:10.048360+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.933247,0.066753,0.975,0.99,0.01,0.071917,58,39,57,40,194,109.95163989067078,0.6,10452.48,-0.5164994059544339,0.0
2026-04-20T18:43:11.116407+00:00,2026-04-20T18:43:11.035405+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.933678,0.066322,0.975,0.99,0.01,0.071134,58,39,57,40,194,108.964595079422,0.6,10648.02,-0.48052682093871874,0.0
2026-04-20T18:43:11.733518+00:00,2026-04-20T18:43:11.040220+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.934806,0.065194,0.975,0.99,0.01,0.069247,58,39,57,40,194,108.95977997779846,0.6,11021.97,-0.4053204644904677,0.0
2026-04-20T18:43:12.406727+00:00,2026-04-20T18:43:12.033327+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.935449,0.064551,0.975,0.99,0.01,0.068115,58,39,57,40,194,107.96667289733887,0.6,11312.74,-0.35516268802314077,0.0
2026-04-20T18:43:13.007139+00:00,2026-04-20T18:43:13.032180+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.935436,0.064564,0.975,0.99,0.01,0.068036,58,39,57,40,194,106.96781992912292,0.6,11381.92,-0.34868327644527536,0.0
2026-04-20T18:43:13.619569+00:00,2026-04-20T18:43:13.038571+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.935671,0.064329,0.975,0.99,0.01,0.06766,58,39,57,40,194,106.96142911911011,0.6,11190.73,-0.3329808149781439,0.0
2026-04-20T18:43:14.233693+00:00,2026-04-20T18:43:14.038355+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936123,0.063877,0.975,0.99,0.01,0.065945,58,39,57,40,194,105.9616448879242,0.6,11896.575,-0.29552014025117435,0.0
2026-04-20T18:43:15.035973+00:00,2026-04-20T18:43:15.036254+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936916,0.063084,0.975,0.99,0.01,0.065488,58,39,57,40,194,104.96374607086182,0.6,12580.544999999998,-0.23534712989747317,0.0
2026-04-20T18:43:16.029653+00:00,2026-04-20T18:43:16.233533+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936768,0.063232,0.975,0.99,0.01,0.065603,58,39,57,40,194,103.76646709442139,0.6,12214.49,-0.2364314255052933,0.0
2026-04-20T18:43:17.389437+00:00,2026-04-20T18:43:17.035733+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936214,0.063786,0.975,0.99,0.01,0.066469,58,39,57,40,194,102.96426701545715,0.6,11367.14,-0.2674501309382887,0.0
2026-04-20T18:43:18.111869+00:00,2026-04-20T18:43:18.130849+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936198,0.063802,0.975,0.99,0.01,0.066409,58,39,57,40,194,101.86915111541748,0.6,11162.59,-0.2604864447316813,0.0
2026-04-20T18:43:18.748502+00:00,2026-04-20T18:43:18.033631+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936276,0.063724,0.975,0.99,0.01,0.066284,58,39,57,40,194,101.96636891365051,0.6,11150.240000000002,-0.25599269612133907,0.0
2026-04-20T18:43:19.360581+00:00,2026-04-20T18:43:19.041615+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.932006,0.067994,0.975,0.99,0.01,0.073327,58,39,57,40,194,100.95838499069214,0.6,9890.119999999999,-0.5333059659539016,0.0
2026-04-20T18:43:19.969895+00:00,2026-04-20T18:43:19.034886+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.931908,0.068092,0.975,0.99,0.01,0.073501,58,39,57,40,194,100.9651141166687,0.6,9840.1,-0.539876881789857,0.0
2026-04-20T18:43:20.607300+00:00,2026-04-20T18:43:20.065137+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.931132,0.068868,0.975,0.99,0.01,0.074708,58,39,57,40,194,99.93486309051514,0.6,9551.19,-0.584024608451931,0.0
2026-04-20T18:43:21.303001+00:00,2026-04-20T18:43:21.048028+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.930781,0.069219,0.975,0.99,0.01,0.075231,58,39,57,40,194,98.95197200775146,0.6,9419.19,-0.6002248174833787,0.0
2026-04-20T18:43:21.898285+00:00,2026-04-20T18:43:21.030357+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.935537,0.064463,0.975,0.99,0.01,0.067296,58,39,57,40,194,98.96964311599731,0.6,6891.07,-0.28332465059852824,0.0
2026-04-20T18:43:22.518669+00:00,2026-04-20T18:43:22.034323+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.935047,0.064953,0.975,0.99,0.01,0.068038,58,39,57,40,194,97.96567702293396,0.6,6800.05,-0.30860499028586724,0.0
2026-04-20T18:43:23.127821+00:00,2026-04-20T18:43:23.032476+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.936539,0.063461,0.975,0.99,0.01,0.06551,58,39,57,40,194,96.96752405166626,0.6,6440.01,-0.20184520426675362,0.0
2026-04-20T18:43:23.728797+00:00,2026-04-20T18:43:23.031265+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.937359,0.062641,0.975,0.99,0.01,0.064112,58,39,57,40,194,96.96873497962952,0.6,6517.8,-0.14716008469115344,0.0
2026-04-20T18:43:24.403050+00:00,2026-04-20T18:43:24.110512+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.937702,0.062298,0.975,0.99,0.01,0.06351,58,39,57,40,194,95.88948798179626,0.6,6290.6,-0.11642050906534894,0.0
2026-04-20T18:43:24.999065+00:00,2026-04-20T18:43:25.030950+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.937313,0.062687,0.975,0.99,0.01,0.064043,58,39,57,40,194,94.96904993057251,0.6,5783.389999999999,-0.13557273502219291,0.0
2026-04-20T18:43:25.701433+00:00,2026-04-20T18:43:25.130781+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,30.0,15.0,15.0,45.0,-55.76554500000003,29.775000000000002,-25.99054500000003,0.985,0.015,0.933395,0.066605,0.975,0.99,0.01,0.070566,58,39,57,40,194,94.86921906471252,0.6,4919.82,-0.3960551402287076,0.0
