ts_local,ts_server,slug,condition_id,inventory_yes,inventory_no,net_inventory,gross_inventory,cash,inventory_value,mark_to_market_pnl,yes_mid,no_mid,yes_fair_value,no_fair_value,yes_bid_quote,yes_ask_quote,no_bid_quote,no_ask_quote,fill_count_yes_buy,fill_count_yes_sell,fill_count_no_buy,fill_count_no_sell,total_fills,seconds_to_window_end,position_bias,crowd_activity,crowd_signal,realized_on_roll,action_name,policy_name,epsilon,state_slug,state_condition_id,state_yes_mid,state_no_mid,state_yes_spread,state_no_spread,state_yes_imbalance,state_no_imbalance,state_yes_mid_return_1s,state_no_mid_return_1s,state_seconds_to_window_end,state_net_inventory,state_gross_inventory,state_position_bias,state_crowd_signal,state_crowd_activity,state_mark_to_market_pnl,state_fill_count,state_key,action_index
2026-04-20T19:38:06.469028+00:00,2026-04-20T19:38:06.044349+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,40.0,50.0,-10.0,90.0,-200.70659999999984,43.6,-157.10659999999984,0.64,0.36,0.643258,0.356742,0.631741,0.65,0.35,0.368259,302,180,285,170,937,113.95565104484558,-0.4,21.599999999999998,-0.4953703703703704,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.64,0.36,0.02,0.02,-0.4953703703703704,0.4953703703703704,0.007874015748031482,-0.013698630136986356,113.95565104484558,-10.0,90.0,-0.4,-0.4953703703703704,21.599999999999998,-157.10659999999984,937,12|0|-1|-2|1|1|0,0
2026-04-20T19:38:07.432204+00:00,2026-04-20T19:38:07.126100+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.800000000000004,-157.40659999999983,0.66,0.34,0.685802,0.314198,0.65,0.693382,0.33,0.35,302,181,286,170,939,112.87389993667603,-0.8,113.81,-0.7545031192338107,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.66,0.34,0.02,0.02,-0.7545031192338107,0.7545031192338107,0.03125,-0.05555555555555547,112.87389993667603,-20.0,90.0,-0.8,-0.7545031192338107,113.81,-157.40659999999983,939,13|0|-2|-3|1|1|0,0
2026-04-20T19:38:08.119314+00:00,2026-04-20T19:38:08.038756+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.690649,0.309351,0.655,0.696623,0.325,0.345,302,181,286,170,939,111.96124410629272,-0.8,173.03,-0.7807316650291857,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.03,0.03,-0.7807316650291857,0.7807316650291857,0.0390625,-0.06944444444444431,111.96124410629272,-20.0,90.0,-0.8,-0.7807316650291857,173.03,-157.50659999999982,939,13|1|-2|-3|1|1|0,0
2026-04-20T19:38:09.005732+00:00,2026-04-20T19:38:09.103848+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.9,-157.30659999999983,0.655,0.345,0.708718,0.291282,0.645,0.710068,0.335,0.355,302,181,286,170,939,110.89615201950073,-0.8,179.70000000000002,0.9106925230562806,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.655,0.345,0.01,0.01,0.9368059530623926,-0.9402273957769355,-0.015037593984962405,0.02985074626865658,110.89615201950073,-20.0,90.0,-0.8,0.9106925230562806,179.70000000000002,-157.30659999999983,939,13|0|2|-3|1|-1|0,0
2026-04-20T19:38:09.750299+00:00,2026-04-20T19:38:09.033930+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.732245,0.267755,0.655,0.743643,0.325,0.345,302,181,286,170,939,110.96606993675232,-0.8,986.9000000000001,0.7610092207923801,0.0,neutral,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.7610092207923801,-0.7610092207923801,0.007575757575757569,-0.014705882352941235,110.96606993675232,-20.0,90.0,-0.8,0.7610092207923801,986.9000000000001,-157.50659999999982,939,13|0|2|-3|1|1|1,1
2026-04-20T19:38:10.609121+00:00,2026-04-20T19:38:10.159889+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.74859,0.25141,0.655,0.755714,0.325,0.345,302,181,286,170,939,109.84011101722717,-0.8,1031.83,0.7565154905327814,0.0,lean_yes,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.7624410302491624,-0.7660963811392247,0.0,0.0,109.84011101722717,-20.0,90.0,-0.8,0.7565154905327814,1031.83,-157.50659999999982,939,13|0|2|-3|1|0|1,2
2026-04-20T19:38:11.274653+00:00,2026-04-20T19:38:11.036241+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.750992,0.249008,0.655,0.755627,0.325,0.345,302,181,286,170,939,108.96375894546509,-0.8,969.24,0.7635054269324418,0.0,defensive,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.7635054269324418,-0.7635054269324418,0.0,0.0,108.96375894546509,-20.0,90.0,-0.8,0.7635054269324418,969.24,-157.50659999999982,939,13|0|2|-3|1|0|1,4
2026-04-20T19:38:12.126717+00:00,2026-04-20T19:38:12.199759+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.749471,0.250529,0.655,0.757094,0.325,0.345,302,181,286,170,939,107.80024099349976,-0.8,910.01,0.8123537103987868,0.0,lean_yes,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.8123537103987868,-0.8123537103987868,0.0,0.0,107.80024099349976,-20.0,90.0,-0.8,0.8123537103987868,910.01,-157.50659999999982,939,13|0|2|-3|1|0|1,2
2026-04-20T19:38:12.896733+00:00,2026-04-20T19:38:12.133178+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.751067,0.248933,0.655,0.756038,0.325,0.345,302,181,286,170,939,107.86682200431824,-0.8,807.38,0.7971215536674181,0.0,defensive,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.7971215536674181,-0.7971215536674181,0.0,0.0,107.86682200431824,-20.0,90.0,-0.8,0.7971215536674181,807.38,-157.50659999999982,939,13|0|2|-3|1|0|1,4
2026-04-20T19:38:13.719646+00:00,2026-04-20T19:38:13.073757+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.750862,0.249138,0.655,0.759594,0.325,0.345,302,181,286,170,939,106.92624306678772,-0.8,702.1600000000001,0.9231799020166344,0.0,lean_yes,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.9231799020166344,-0.9231799020166344,0.0,0.0,106.92624306678772,-20.0,90.0,-0.8,0.9231799020166344,702.1600000000001,-157.50659999999982,939,13|0|2|-3|1|0|1,2
